location	product_ean	code	store_name
Asia/Almaty	0194969440387	KZ	Otegen Batyra
Europe/Warsaw	3684931885225	PL	Brzeg
America/Porto_Velho	8332110989138	BR	Porto Velho
Africa/Dar_es_Salaam	6587882598589	TZ	Same
Asia/Kolkata	3626104377441	IN	Elamanchili
America/Lima	0287830233154	PE	Chosica
Europe/Berlin	4299029083309	DE	Trossingen
Asia/Kolkata	1808533166113	IN	Bhayandar
Asia/Colombo	9637994630657	LK	Hendala
America/New_York	7101002882946	US	West Chester
America/Sao_Paulo	0296231597895	BR	Buri
America/Belem	7850862044048	BR	Soure
Asia/Kolkata	6092488174698	IN	Sirsi
Europe/Rome	1570464440746	IT	Francavilla Fontana
Asia/Vladivostok	4343428405320	RU	Lesozavodsk
America/Sao_Paulo	0653740943528	BR	Resplendor
Europe/Berlin	5375219484794	DE	Neuburg an der Donau
America/Mexico_City	0733384078524	MX	Guanajuato
America/New_York	8373415320912	US	Brighton Beach
America/Guayaquil	8654720137786	EC	Cuenca
Europe/Madrid	5634706999563	ES	Baza
America/Belem	4579383185469	BR	Soure
Asia/Shanghai	6640800330194	CN	Jiangyan
America/Sao_Paulo	6489853060029	BR	Artur Nogueira
Europe/Amsterdam	5150167657960	NL	Emmeloord
Asia/Kolkata	9044827091064	IN	Barbil
America/Chicago	1091348335670	US	Palestine
America/New_York	4643835696169	US	Deltona
America/Sao_Paulo	8019679024646	BR	Iturama
Europe/Zurich	8264448958442	CH	Adliswil
America/Chicago	2222582004056	US	Westchester
Asia/Jakarta	1664225228862	ID	Simpang
Asia/Kabul	4784481640066	AF	Sar-e Pul
America/Chicago	7350333354855	US	Evergreen Park
Europe/Istanbul	6763135321337	TR	Aksaray
Asia/Bangkok	9410957341278	TH	Phanat Nikhom
America/New_York	1733377397860	US	Middletown
Europe/Madrid	3016106365681	ES	Reus
America/Chicago	1163072490823	US	Shreveport
America/Chicago	7456580493078	US	Odessa
Asia/Damascus	2204092898318	SY	Tadmur
America/Sao_Paulo	3227145606653	BR	Resplendor
Atlantic/Canary	8631909040129	ES	Maspalomas
Asia/Kolkata	0648333854336	IN	Teghra
America/New_York	2517892585235	US	Lutz
Asia/Tokyo	5843178670034	JP	Nayoro
Europe/Berlin	1099299236336	DE	Losheim
Asia/Tokyo	2317588330763	JP	Nayoro
Asia/Jerusalem	1046996387762	IL	Rahat
America/New_York	4975150122451	US	Toledo
Asia/Kolkata	9956324269542	IN	Hungund
Europe/Rome	0721964538124	IT	Tortona
Asia/Shanghai	7110217529898	CN	Dongdu
America/Puerto_Rico	1456053676669	PR	Yauco
Europe/Berlin	9858286222088	DE	Memmingen
Europe/Paris	2817960302147	FR	Ajaccio
Asia/Kuala_Lumpur	3239263456928	MY	Kulai
Asia/Yekaterinburg	1553508967201	RU	Izluchinsk
Asia/Tokyo	0854174619977	JP	Minokamo
America/Los_Angeles	6244740183508	US	Troutdale
Europe/Zaporozhye	5503809056971	UA	Polohy
America/Sao_Paulo	3147390385076	BR	Imbituba
Europe/Rome	6279639712101	IT	Villabate
Asia/Yekaterinburg	0279762970924	RU	Kuvandyk
America/Tegucigalpa	9873902297554	HN	Olanchito
America/Los_Angeles	1421467413988	US	Porterville
Asia/Manila	2926044113118	PH	Burgos
Europe/Madrid	0023292137957	ES	Gernika-Lumo
America/Chicago	2084211166678	US	Grand Forks
America/Guayaquil	6366784270027	EC	Cuenca
Europe/Rome	5943947440049	IT	Bisceglie
Australia/Perth	0437569777386	AU	Willetton
Asia/Kolkata	4433440051442	IN	Haldwani
Asia/Manila	2763576965965	PH	Baliuag
Europe/Berlin	1407251693576	DE	Radevormwald
Asia/Kolkata	0866918218391	IN	Barpeta
Asia/Shanghai	4339467825991	CN	Jiangyan
Africa/Kampala	3268750648171	UG	Paidha
Europe/Berlin	2498306459512	DE	Bad Segeberg
Africa/Abidjan	0760027611442	CI	Lakota
Europe/Tallinn	5836703122740	EE	Narva
Asia/Jakarta	2598057198453	ID	Wangon
Africa/Libreville	6450947849493	GA	Franceville
America/Recife	0104488190441	BR	Recife
Europe/London	2739100384496	GB	Selby
Asia/Kolkata	2300552909584	IN	Leteri
Africa/Kinshasa	7335294654794	CD	Kasangulu
Europe/Lisbon	1617808064548	PT	Custoias
Europe/Madrid	7938745946792	ES	Palafrugell
America/New_York	3208093791523	US	Venice
America/Manaus	0853874852653	BR	Itacoatiara
Asia/Tehran	1592241931520	IR	Aleshtar
America/Phoenix	1881248072047	US	Scottsdale
Europe/Bratislava	8713379170626	SK	Hlohovec
America/Port_of_Spain	2935675571327	TT	Port of Spain
Africa/Lagos	7030238105515	NG	Argungu
Asia/Tokyo	0320473235090	JP	Inawashiro
Africa/Abidjan	5991291477167	CI	Bonoua
America/New_York	8770115937622	US	Middletown
Asia/Jakarta	5585810844501	ID	Randudongkal
Asia/Manila	9819486866601	PH	Tupi
America/Sao_Paulo	2135461615789	BR	Miracema
America/Santiago	3245120968480	CL	Chiguayante
America/Los_Angeles	5090033010614	US	Claremont
Asia/Tehran	6474177784065	IR	Shahre Jadide Andisheh
America/Denver	5657784851189	US	Carlsbad
Africa/Tunis	1860532735301	TN	Msaken
Asia/Kolkata	3326935600427	IN	Dombivli
Africa/Lagos	0711224856754	NG	Efon-Alaaye
Asia/Manila	2991895852011	PH	Pilar
Asia/Taipei	5184347100007	TW	Magong
Asia/Kolkata	9429848112668	IN	Lal Bahadur Nagar
America/Toronto	3623426463142	CA	Markham
Asia/Karachi	3085529414634	PK	Jhol
Asia/Manila	0345337964244	PH	Naga
America/Detroit	7365494613499	US	Canton
Europe/Tallinn	5043388257432	EE	Narva
Europe/Paris	1870483032640	FR	Lons-le-Saunier
Europe/Moscow	2200827134041	RU	Buynaksk
Asia/Jakarta	4239440233754	ID	Labuhan Deli
America/Sao_Paulo	5842162117487	BR	Esmeraldas
Europe/Berlin	2789955871856	DE	Albstadt
Europe/Amsterdam	9330167322389	NL	Barneveld
Africa/Lagos	9264327595255	NG	Gaya
Asia/Karachi	7162556806451	PK	Mianwali
America/Chicago	2928717877013	US	Fresno
America/Chicago	4214543777275	US	New City
America/New_York	2465863576945	US	Woodbridge
Asia/Kolkata	0403503063693	IN	Teghra
Asia/Kolkata	8192289553864	IN	Kundla
America/Chicago	0116687346239	US	Tyler
Asia/Seoul	4833186961799	KR	Nonsan
Europe/Paris	2121824913463	FR	Saint-Genis-Laval
Asia/Yekaterinburg	9867251020390	RU	Izluchinsk
Europe/Paris	0347834677979	FR	Cavaillon
America/Mexico_City	0374416984736	MX	Casa Blanca
Asia/Baku	1293978438169	AZ	Qazax
Europe/London	2217628966566	GB	Selby
Africa/Tripoli	9851971322254	LY	Ajdabiya
Asia/Kolkata	5585880372355	IN	Dombivli
Asia/Kolkata	5278750396048	IN	Manjeri
America/Los_Angeles	9693124715342	US	Pahrump
Asia/Yekaterinburg	9159104633988	RU	Izluchinsk
Asia/Tehran	6199008483886	IR	Shahre Jadide Andisheh
Europe/Chisinau	1952590138023	MD	Soroca
Europe/Paris	5048038472951	FR	Pamiers
Africa/Algiers	7066419724633	DZ	Cheraga
America/Los_Angeles	9413306211697	US	Bothell West
America/Mexico_City	7733521912356	MX	Teziutlan
Europe/London	5547522789440	GB	Walton-on-the-Naze
America/New_York	0309056750243	US	Cypress Hills
Asia/Tashkent	4568180587583	UZ	Parkent
Europe/London	2232721727678	GB	Gainsborough
Asia/Tokyo	5490262127914	JP	Iwade
America/Los_Angeles	3517601828485	US	North Tustin
Africa/Lagos	4821177359212	NG	Yenagoa
Africa/Dar_es_Salaam	0629153822569	TZ	Iringa
Europe/Warsaw	6738627020432	PL	Strzelce Opolskie
Asia/Tokyo	8361095436382	JP	Inawashiro
Africa/Douala	9755795856035	CM	Tonga
Europe/Madrid	2604288073084	ES	Palafrugell
America/Sao_Paulo	7605472518683	BR	Itaperuna
Europe/Moscow	3249622376989	RU	Tyoply Stan
America/New_York	6917654450379	US	Dublin
Asia/Kolkata	0332667379770	IN	Pune
Asia/Shanghai	9232770202877	CN	Boli
Europe/Moscow	4913520929743	RU	Krymsk
Asia/Aden	5230695806853	YE	Ataq
Africa/Lagos	6528076015345	NG	Yenagoa
America/Sao_Paulo	5916317551560	BR	Pato Branco
America/Los_Angeles	7134134174733	US	Claremont
America/New_York	0069613747351	US	Middle River
Europe/Amsterdam	9471031726183	NL	Hoogezand
Indian/Antananarivo	0537253748156	MG	Sakaraha
Africa/Monrovia	9192103099362	LR	New Yekepa
America/Sao_Paulo	3180809570373	BR	Sarandi
Africa/Dar_es_Salaam	1252668873376	TZ	Nyangao
America/Sao_Paulo	5779774728056	BR	Viradouro
Europe/Brussels	3265801022430	BE	Lille
Europe/Moscow	2039957231210	RU	Volokolamsk
Asia/Bangkok	1934963291962	TH	Bua Yai
Asia/Shanghai	3831284364482	CN	Meizhou
America/Tegucigalpa	3893039043554	HN	Olanchito
Europe/Brussels	5161744446396	BE	Rixensart
America/Caracas	1757762534463	VE	Ciudad Guayana
Asia/Shanghai	0730422602031	CN	Haicheng
Europe/London	4807396250448	GB	Lower Earley
America/New_York	4808444838533	US	Norwalk
Europe/Lisbon	7670247982686	PT	Paredes
Europe/Saratov	6495141449841	RU	Privolzhskiy
Europe/Lisbon	7677526310475	PT	Custoias
Europe/Moscow	6990874692880	RU	Danilov
Europe/Minsk	8667863728735	BY	Vitebsk
Europe/Madrid	4760537310893	ES	Las Gabias
Europe/Rome	8642884628844	IT	San Giuliano Milanese
America/Halifax	2817853159438	CA	Charlottetown
Europe/Kiev	5967914196883	UA	Krasyliv
Europe/London	2963552219475	GB	Cowes
Asia/Tokyo	5461083778951	JP	Annaka
Africa/Niamey	1100560267048	NE	Mirriah
Asia/Hebron	4041904506874	PS	East Jerusalem
Indian/Antananarivo	7766389712714	MG	Ambatondrazaka
Asia/Shanghai	4914328379495	CN	Jingzhou
America/Los_Angeles	6992847344826	US	Aloha
Asia/Tokyo	1786519209644	JP	Suzaka
Asia/Karachi	3465254813986	PK	Khairpur Mir’s
Africa/Cairo	5181175505899	EG	Alexandria
Europe/London	3509838999137	GB	Poulton-le-Fylde
America/Sao_Paulo	2314730106740	BR	Loanda
Europe/Istanbul	1613891250394	TR	Bergama
America/New_York	1225670687347	US	Norwalk
Europe/Moscow	9166617150857	RU	Danilov
Africa/Dar_es_Salaam	7836170196778	TZ	Mwandiga
Asia/Kolkata	2831239819419	IN	Jashpurnagar
Europe/Madrid	4997070598147	ES	Segundo Ensanche
Europe/London	9196492846019	GB	Leyland
Africa/Algiers	9653865632001	DZ	Cheraga
Asia/Bishkek	9077263967785	KG	Jalal-Abad
Europe/Moscow	1067258743928	RU	Roslavl’
America/Mexico_City	9245442213767	MX	Teziutlan
America/Sao_Paulo	7750049767237	BR	Sarandi
Asia/Bangkok	0943588272356	TH	Phanat Nikhom
America/New_York	9286289224202	US	Far Rockaway
Europe/Paris	2562567694873	FR	Elbeuf
Africa/Algiers	7580340247103	DZ	Bordj Zemoura
America/Port-au-Prince	8828280905745	HT	Croix-des-Bouquets
Africa/Tunis	3549179756242	TN	Siliana
Europe/Rome	9133236296723	IT	Agrigento
Asia/Shanghai	2086037333548	CN	Laiwu
Asia/Kolkata	5612367736918	IN	Dharmapuri
Indian/Reunion	1200700995685	RE	Saint-Denis
Europe/London	0419221818965	GB	Inverness
Europe/Berlin	8452168259059	DE	Bad Honnef
Asia/Kolkata	6949853356824	IN	Madhipura
America/Jamaica	8700471744114	JM	New Kingston
America/Los_Angeles	2117500661162	US	Aloha
Europe/Zaporozhye	6077206334394	UA	Svatove
America/Bahia	0036875792634	BR	Tucano
America/Los_Angeles	4077578240998	US	Indio
Africa/Abidjan	3259893116481	CI	Lakota
America/Chicago	7147719401612	US	Bourbonnais
Africa/Lubumbashi	9564213563451	CD	Kamina
Asia/Yangon	8766184032054	MM	Kyaikto
America/New_York	8045902102287	US	Brighton Beach
Asia/Krasnoyarsk	2648719876172	RU	Sharypovo
Europe/London	1764197869084	GB	Blackpool
Asia/Tokyo	6340952866465	JP	Inawashiro
Europe/Berlin	7588211402736	DE	Schwalmtal
America/New_York	6299351553585	US	Brighton Beach
Asia/Colombo	1917530854456	LK	Hendala
Asia/Manila	1563634199858	PH	Pilar
Africa/Dar_es_Salaam	5453733205498	TZ	Chanika
Asia/Bangkok	0354353194092	TH	Thap Than
Africa/Addis_Ababa	8810274980265	ET	Arba Minch
Asia/Shanghai	9743232584627	CN	Sishui
America/Denver	6742664684700	US	Carlsbad
Europe/London	0292385111420	GB	Lower Earley
America/Mexico_City	9526795082102	MX	San Lorenzo Acopilco
America/Los_Angeles	1919776095372	US	American Canyon
America/Matamoros	0057739045185	MX	Heroica Matamoros
America/Guatemala	6807034497301	GT	Chichicastenango
Europe/London	4451747086479	GB	Walton-on-the-Naze
Europe/Amsterdam	2728216638821	NL	Hoogezand
America/Mexico_City	8105448432573	MX	Guanajuato
Europe/London	5603188821730	GB	Mexborough
America/New_York	0254224869886	US	Fort Washington
America/Sao_Paulo	5411512570694	BR	Pato Branco
Asia/Kolkata	8722132749856	IN	Pune
Asia/Kolkata	7333811076258	IN	Periyakulam
America/Chicago	4962226187940	US	Brenham
Europe/Rome	8524187802469	IT	Mesagne
Africa/Dar_es_Salaam	9646239591035	TZ	Mwandiga
America/Guayaquil	4482237818089	EC	Milagro
Asia/Kolkata	4248591048841	IN	Gingee
Europe/Paris	8933879215027	FR	Sceaux
Asia/Shanghai	3918620722004	CN	Jingzhou
America/New_York	5716519195407	US	Sterling
Asia/Ho_Chi_Minh	7139959314487	VN	Sa Dec
America/Mexico_City	9153671000020	MX	Jocotepec
Europe/Kiev	6493033963789	UA	Hlukhiv
Asia/Shanghai	1227489305337	CN	Heyuan
Asia/Tokyo	1161266103429	JP	Ina
Europe/Prague	4125569823566	CZ	Karlovy Vary
Asia/Karachi	9062359823847	PK	Daud Khel
America/Phoenix	8551003161479	US	Scottsdale
Asia/Kolkata	5967276340436	IN	Saharsa
America/New_York	1438439528397	US	Middle River
Europe/Madrid	3779670287994	ES	Caravaca
Asia/Jakarta	5559549119797	ID	Wangon
Asia/Manila	5265787314169	PH	Naga
Asia/Tokyo	8299696650022	JP	Ueno-ebisumachi
Asia/Tokyo	7145477685848	JP	Fujioka
Europe/Amsterdam	8463872267858	NL	Vught
Asia/Tokyo	9283581424224	JP	Iwade
Europe/Moscow	0583574598963	RU	Petrozavodsk
Asia/Bangkok	1157811566023	TH	Bua Yai
Asia/Bangkok	2213722791363	TH	Bua Yai
Asia/Jerusalem	4743542831171	IL	Ganei Tikva
America/Santiago	8928434738882	CL	La Ligua
America/Bogota	5239046263635	CO	Honda
America/Los_Angeles	3298358721662	US	North Tustin
Asia/Tokyo	7996900394529	JP	Toyokawa
Africa/Algiers	3621567611750	DZ	Bordj Zemoura
Africa/Nairobi	1965379400501	KE	Nyahururu
Europe/Paris	6897822198718	FR	Fontenay-aux-Roses
Asia/Seoul	5281502398436	KR	Eisen
America/Los_Angeles	2385902465804	US	North Tustin
America/Chicago	7332738817951	US	Huntley
America/Chicago	4653200701596	US	Hueytown
Asia/Shanghai	7998100851741	CN	Dongdu
Europe/Berlin	2852901978630	DE	Korschenbroich
Europe/Rome	8914074811047	IT	Portogruaro
America/Sao_Paulo	9582408683739	BR	Esmeraldas
Asia/Krasnoyarsk	7785222211306	RU	Sharypovo
America/New_York	6522246475205	US	Sterling
Europe/London	6649473517031	GB	Blackpool
Asia/Kolkata	9038485321298	IN	Pandua
America/Sao_Paulo	2342559970730	BR	Caldas Novas
Asia/Jakarta	8628342858497	ID	Wangon
Europe/London	6446214420168	GB	Inverness
Europe/London	9282671223471	GB	Southsea
Europe/Malta	2858632293929	MT	Valletta
Asia/Ho_Chi_Minh	4506021084877	VN	Sa Dec
Europe/Vienna	2793727623765	AT	Sankt Peter
America/Chicago	9637556664236	US	Rosemount
Asia/Jerusalem	5646101087202	IL	Ganei Tikva
Europe/Lisbon	7573204091660	PT	Carnaxide
Europe/Madrid	5922880770154	ES	Reus
America/Costa_Rica	6383392662693	CR	San Rafael
America/Los_Angeles	6299893500573	US	Santa Maria
Europe/Madrid	8430893783070	ES	Amposta
Europe/Moscow	9196197833673	RU	Shushary
America/Managua	4456695196980	NI	Somoto
Europe/Moscow	0391009890045	RU	Kovylkino
Europe/Moscow	4976647613988	RU	Buynaksk
Africa/Tripoli	6348146254692	LY	Ghat
Africa/Tripoli	8854401635758	LY	Ghat
Asia/Irkutsk	5473896390961	RU	Ulan-Ude
America/New_York	0055607124994	US	Bon Air
America/Los_Angeles	0575431590692	US	Palm Desert
America/Costa_Rica	6951464265914	CR	Liberia
Africa/Windhoek	3924389307338	NA	Okahandja
America/Chicago	2884779926772	US	Westchester
Asia/Almaty	7770164389763	KZ	Zaysan
America/Jamaica	4122543886913	JM	New Kingston
Africa/Djibouti	3012423628935	DJ	'Ali Sabieh
America/Havana	7974708193186	CU	Corralillo
Europe/Berlin	6343995737174	DE	Barmbek-Nord
Asia/Bangkok	2573793047005	TH	Kantharalak
Europe/Volgograd	0264151501735	RU	Mikhaylovka
America/Indiana/Indianapolis	9285746882801	US	Greenfield
Asia/Tehran	9176573478322	IR	Darreh Shahr
Europe/Warsaw	9252251572695	PL	Jaworzno
Asia/Bangkok	6732026509246	TH	Tak Bai
America/Panama	1651349768619	PA	Chilibre
Africa/Freetown	4962355864392	SL	Freetown
Europe/Paris	9603835083968	FR	Bobigny
America/Chicago	9988425971154	US	Searcy
America/Matamoros	9952440174920	MX	Heroica Matamoros
Europe/Paris	9930572742774	FR	Colomiers
Africa/Blantyre	6801022391299	MW	Salima
America/Chicago	0436203146861	US	Kaukauna
Indian/Antananarivo	4060089248010	MG	Ikalamavony
Asia/Seoul	8095775608409	KR	Nonsan
America/New_York	5452619732868	US	New Canaan
America/Denver	5706679163750	US	Ken Caryl
America/Sao_Paulo	5023276738816	BR	Itaperuna
Asia/Jakarta	8006360516641	ID	Pameungpeuk
Europe/Berlin	4178196221243	DE	Siegburg
Europe/Rome	2630950260568	IT	Ariccia
Africa/Dar_es_Salaam	5865862970152	TZ	Iringa
America/Mexico_City	3356900083368	MX	Tuxtla
Europe/Moscow	5998112679656	RU	Severodvinsk
Asia/Taipei	9409725828387	TW	Magong
Asia/Ho_Chi_Minh	7787225733847	VN	Sa Dec
Asia/Kolkata	6916521111931	IN	Adra
America/New_York	0785237786438	US	Peabody
Australia/Brisbane	6068340647914	AU	Maryborough
Asia/Shanghai	5107142196419	CN	Hushitai
America/New_York	8367041392689	US	Morningside Heights
Asia/Kolkata	3027618367674	IN	Periyakulam
Europe/Berlin	9367782004185	DE	Barmbek-Nord
Europe/London	3970409696425	GB	Winsford
Europe/Minsk	7230279592927	BY	Vitebsk
America/Caracas	0856446965089	VE	La Victoria
America/Recife	7820721719165	BR	Cabo
Europe/Kiev	4530036576362	UA	Shepetivka
Asia/Shanghai	7860761117729	CN	Dongdu
America/Mexico_City	2867198404571	MX	Jocotepec
Europe/Moscow	6119315291677	RU	Stupino
America/Los_Angeles	7049133922332	US	Camarillo
Asia/Tokyo	9116344931328	JP	Gero
America/Los_Angeles	6580762288433	US	Laguna Niguel
Asia/Kolkata	0690701532025	IN	Bhayandar
Asia/Karachi	1389973334725	PK	Naushahra Virkan
Asia/Kolkata	3598264899913	IN	Sathyamangalam
America/New_York	1546363891590	US	Clermont
Asia/Shanghai	0813158521408	CN	Meizhou
Australia/Perth	4566724347532	AU	Willetton
Asia/Kolkata	2899469727904	IN	Sirsi
Australia/Sydney	8686012703409	AU	Strathfield
Europe/Madrid	9657393098148	ES	Leioa
Asia/Shanghai	5069806233802	CN	Changzhi
Asia/Kolkata	7079363876365	IN	Pandua
Africa/Bamako	9494148882429	ML	Kati
America/Los_Angeles	0275459075354	US	Redding
Africa/Algiers	7379176870032	DZ	Thenia
Europe/London	6186456411660	GB	Newbury
Europe/Kiev	7024517578367	UA	Voznesensk
Pacific/Port_Moresby	3537472060708	PG	Mount Hagen
Africa/Tunis	2255751451498	TN	Msaken
America/New_York	0798625658392	US	Punta Gorda Isles
Europe/Berlin	5641751497791	DE	Eppingen
Europe/Kiev	6688796864132	UA	Lutsk
America/Fortaleza	3174881818874	BR	Guaraciaba do Norte
America/Chicago	6811281195194	US	Longview
Asia/Kolkata	8986933059198	IN	Sheoganj
Europe/Paris	4248294295122	FR	Pamiers
Australia/Sydney	9692992326605	AU	Griffith
America/Los_Angeles	3515766867561	US	South Whittier
America/Mexico_City	0171856841915	MX	Acayucan
America/New_York	4591407764788	US	Deltona
Europe/London	6765103887531	GB	Devizes
America/New_York	5664289585655	US	Bon Air
America/Mexico_City	6322128841056	MX	Acayucan
Africa/Lubumbashi	3754971574523	CD	Kamina
Europe/Istanbul	1878273146652	TR	Aksaray
Asia/Kolkata	1192477558678	IN	Sirsi
America/Puerto_Rico	1992193893530	PR	Yauco
Europe/Berlin	9777557941261	DE	Zeitz
Australia/Melbourne	4390050790447	AU	Frankston South
America/Los_Angeles	4309017415798	US	Beaumont
Asia/Dili	5267655697879	TL	Maliana
Europe/Madrid	6604281398470	ES	Palafrugell
America/Los_Angeles	3280336052431	US	Santa Maria
Asia/Yekaterinburg	9191014097788	RU	Oktyabr’skiy
Europe/Amsterdam	6219898193815	NL	Hardenberg
Europe/Berlin	2823504479909	DE	Dahlem
Asia/Dili	4079334699026	TL	Maliana
Europe/Brussels	7100622072225	BE	Beveren
Europe/Istanbul	1646435995116	TR	Gaziantep
America/New_York	8798460505730	US	Chillum
Europe/Brussels	1392400587250	BE	Houthalen
Europe/Moscow	0561644961626	RU	Bavly
Europe/Lisbon	4773391243122	PT	Paredes
Asia/Kolkata	7798680803853	IN	Supaul
America/Toronto	6164863091040	CA	Sainte-Catherine
Australia/Melbourne	5335658395402	AU	Carnegie
America/Phoenix	1260188613761	US	Gilbert
America/Chicago	1606965258099	US	Fairview Heights
America/Bogota	9481026620525	CO	Puerto Colombia
Asia/Kolkata	0302136692983	IN	Udumalaippettai
Indian/Antananarivo	7890897589190	MG	Sakaraha
Europe/Berlin	7791151136610	DE	Hofheim am Taunus
Asia/Jerusalem	6445441005414	IL	Ramla
Asia/Damascus	6664848889681	SY	Tadmur
Asia/Vladivostok	3754587177552	RU	Lesozavodsk
Europe/London	3696492742411	GB	Mexborough
America/New_York	6022917997161	US	Punta Gorda Isles
Asia/Tokyo	5268495625763	JP	Inawashiro
Asia/Yekaterinburg	3827602823281	RU	Kachkanar
America/Havana	3382842667137	CU	Varadero
America/New_York	1082264052338	US	Scotch Plains
Europe/London	2450168716370	GB	Kingston upon Hull
Asia/Ho_Chi_Minh	2983028270663	VN	Sa Dec
Asia/Kolkata	1037960447971	IN	Kangayam
America/Mexico_City	2247391338031	MX	Jocotepec
America/Sao_Paulo	8483250383840	BR	Valinhos
Asia/Tokyo	4697964008270	JP	Shimotoda
America/Chicago	5747549345579	US	Kaukauna
Europe/Moscow	0387450283611	RU	Novopavlovsk
Asia/Manila	3761130927533	PH	Santa Catalina
Africa/Addis_Ababa	1790328694959	ET	Debre Tabor
Africa/Maputo	7637544883917	MZ	Maxixe
Asia/Shanghai	5701105414741	CN	Ulanhot
America/Lima	4401921749942	PE	Chosica
Australia/Melbourne	0379614765477	AU	Frankston South
Africa/Dar_es_Salaam	4737811799644	TZ	Iringa
Europe/Amsterdam	5241501694793	NL	Oldenzaal
Africa/Khartoum	6988057413087	SD	Ar Ruseris
Europe/Rome	2626664853738	IT	Perugia
America/New_York	0970742125913	US	Bridgeport
Asia/Jakarta	3234601376432	ID	Muncar
America/Bahia	0280837665140	BR	Canavieiras
Europe/Zaporozhye	9587450270272	UA	Svatove
Europe/Madrid	9933136736455	ES	Caravaca
Asia/Seoul	7790840169342	KR	Goyang-si
America/Chicago	6124244011906	US	Tyler
Africa/Windhoek	5441996245108	NA	Okahandja
Europe/Paris	6393227804068	FR	Saint-Omer
Asia/Shanghai	6237631979458	CN	Liaoyang
America/New_York	5104351698017	US	Bon Air
Asia/Kolkata	1395610281765	IN	Sirsi
America/Bahia	5137580586121	BR	Canavieiras
Europe/Paris	2363673749781	FR	Niort
Asia/Seoul	3198193995641	KR	Eisen
Europe/Berlin	7084250497462	DE	Nidderau
Europe/Moscow	7155941379494	RU	Stupino
Europe/Istanbul	6626379490736	TR	Bergama
Asia/Kuala_Lumpur	1073562038254	MY	Gua Musang
America/Argentina/Buenos_Aires	3653406702602	AR	Barracas
Asia/Kolkata	0879227185643	IN	Sathyamangalam
Europe/London	8006090739174	GB	Mexborough
Europe/Rome	7065432832349	IT	Falconara Marittima
Asia/Shanghai	9156088245114	CN	Pingyi
Africa/Tripoli	4940627365242	LY	Ghat
America/Fortaleza	6417705786346	BR	Guaraciaba do Norte
Europe/Rome	1091258733856	IT	Ragusa
Europe/Berlin	4783930645669	DE	Bretten
Asia/Karachi	7966853205210	PK	Mianwali
Africa/Kinshasa	8491638820849	CD	Kasangulu
Asia/Kolkata	5498834443325	IN	Parola
Asia/Karachi	7616977899702	PK	Alipur
Europe/Paris	7790162266439	FR	Mitry-Mory
Europe/Rome	9812753724505	IT	Bisceglie
